transaction_id,customer_id,merchant_id,amount,transaction_time,transaction_type,channel,device_id,ip_address,geo_location,transaction_velocity_1h,transaction_velocity_24h,avg_spend_7d,customer_risk_score,account_age_days,card_present,international_flag,previous_fraud_history,merchant_category,is_fraud
1,18032,7485,49790.53,2024-09-27 09:10:00,UPI,Mobile,208391,192.168.93.164,Chennai,4,27,20112.29,0.601,1003,0,0,0,Travel,0
2,79655,2925,2096.82,2024-01-04 11:45:00,POS,Card,586895,192.168.91.119,Pune,1,1,52109.76,0.734,3332,1,0,0,Food,0
3,68910,7400,12283.73,2024-02-14 02:31:00,NetBanking,Mobile,917907,192.168.45.244,Chennai,1,7,21480.87,0.292,3137,0,0,0,Food,0
4,49498,6080,29907.15,2024-03-10 09:29:00,UPI,Card,302939,192.168.159.69,Chennai,5,11,33830.46,0.129,4970,1,0,0,Food,0
5,48970,2824,20788.96,2024-02-09 04:35:00,UPI,Web,903093,192.168.171.146,Delhi,3,7,47086.29,0.173,3878,1,1,0,Electronics,0
6,87272,5225,31895.93,2024-12-12 17:23:00,POS,Branch,304598,192.168.71.33,Bangalore,1,31,30448.67,0.385,1848,1,0,0,Bills,0
7,17735,1329,29340.9,2024-01-04 09:50:00,POS,Web,928977,192.168.173.98,Delhi,7,0,57487.47,0.021,3863,0,0,0,Bills,0
8,72762,7315,39410.07,2024-05-21 21:07:00,ATM,Branch,482910,192.168.66.67,Hyderabad,1,31,18731.97,0.857,458,1,0,0,Electronics,0
9,28132,3733,3591.6,2024-12-23 02:24:00,UPI,Mobile,462535,192.168.40.177,Pune,9,15,2376.2,0.667,4109,0,0,0,Electronics,0
10,18475,4450,22058.77,2024-02-12 21:41:00,ATM,Web,809497,192.168.239.194,Hyderabad,6,23,17217.38,0.369,1780,1,0,0,Travel,0
11,57382,2414,43009.69,2024-08-27 02:30:00,POS,Mobile,539125,192.168.55.219,Chennai,6,7,41155.42,0.352,902,1,0,0,Travel,1
12,97805,4284,18169.96,2024-04-01 07:44:00,UPI,Card,351510,192.168.122.63,Pune,0,2,30536.74,0.426,4059,1,0,0,Food,0
13,76216,4561,25214.25,2024-04-27 06:02:00,POS,Card,439713,192.168.110.165,Mumbai,5,39,44507.53,0.495,2539,0,0,0,E-commerce,0
14,78501,3024,1127.85,2024-06-11 02:55:00,NetBanking,Branch,326404,192.168.167.129,Bangalore,2,23,45901.46,0.377,2111,0,0,0,Food,0
15,74572,9813,11247.49,2024-07-30 08:43:00,UPI,Branch,503082,192.168.116.136,Hyderabad,1,21,45786.89,0.983,4226,1,0,0,Electronics,0
16,80745,3518,23209.57,2024-10-04 17:23:00,UPI,Branch,552376,192.168.189.57,Delhi,9,33,11113.37,0.035,3154,0,0,0,E-commerce,0
17,56189,2629,19978.46,2024-08-13 23:05:00,POS,Web,717639,192.168.72.180,Pune,4,12,12388.64,0.684,1912,0,1,0,Travel,0
18,21530,5933,35747.01,2024-01-08 12:03:00,NetBanking,Web,417357,192.168.184.158,Hyderabad,7,0,48131.3,0.591,4949,0,0,0,Electronics,1
19,85576,3869,30613.41,2024-03-07 18:27:00,UPI,Card,341254,192.168.196.231,Bangalore,4,17,34905.08,0.387,3226,0,0,0,Grocery,0
20,50534,5085,44020.11,2024-08-17 01:04:00,NetBanking,Branch,982784,192.168.97.153,Delhi,8,8,47333.7,0.027,629,0,0,0,Others,0
21,55031,7525,42745.8,2024-04-15 10:29:00,ATM,Mobile,841158,192.168.220.177,Delhi,4,1,49192.3,0.732,1762,0,0,0,Grocery,0
22,43371,1703,12098.93,2024-01-22 20:07:00,UPI,Branch,825821,192.168.45.87,Mumbai,3,33,1387.44,0.031,3015,0,0,0,Others,0
23,26429,5582,931.05,2024-07-18 18:09:00,ATM,Web,420118,192.168.153.47,Hyderabad,9,31,18591.1,0.718,4522,0,0,0,Grocery,0
24,93407,1195,42730.81,2024-04-25 16:58:00,ATM,Mobile,452545,192.168.191.241,Delhi,9,9,55822.22,0.655,748,1,0,0,Food,1
25,80340,1395,16489.59,2024-11-02 12:35:00,ATM,Card,708036,192.168.146.153,Chennai,2,36,56801.04,0.283,2223,1,0,1,Bills,0
26,67947,1832,17388.13,2024-11-20 16:50:00,POS,Branch,207767,192.168.173.121,Pune,7,2,39107.2,0.181,4287,1,0,0,Electronics,0
27,46216,2455,7961.82,2024-02-17 07:11:00,UPI,Web,971647,192.168.178.254,Mumbai,8,2,27007.23,0.54,3807,0,0,0,Electronics,0
